Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71795731,9,"Sunday, June  3, 2012 17:31:37 UTC",37.2613,-121.6357,3.5,8.50,247,"Northern California"
us,b000a5zr,3,"Sunday, June  3, 2012 17:06:05 UTC",41.1087,139.9612,4.3,162.50,27,"Hokkaido, Japan region"
nc,71795716,3,"Sunday, June  3, 2012 16:59:30 UTC",39.4778,-123.3398,1.8,0.00,24,"Northern California"
ak,10485832,3,"Sunday, June  3, 2012 16:56:55 UTC",61.9620,-151.4797,1.8,82.10,28,"Southern Alaska"
ak,10488054,2,"Sunday, June  3, 2012 16:51:43 UTC",53.1864,-166.6444,1.7,13.10, 8,"Fox Islands, Aleutian Islands, Alaska"
us,2012bja6,7,"Sunday, June  3, 2012 16:44:24 UTC",36.5788,138.4169,4.2,167.80,36,"eastern Honshu, Japan"
ak,10488053,2,"Sunday, June  3, 2012 16:41:16 UTC",59.1773,-152.5902,1.8,70.60,22,"Southern Alaska"
nc,71795706,5,"Sunday, June  3, 2012 16:38:47 UTC",36.3618,-120.9255,1.1,2.50,16,"Central California"
mb,28250,1,"Sunday, June  3, 2012 16:31:05 UTC",45.3323,-112.5180,1.1,0.00,15,"western Montana"
ak,10488052,2,"Sunday, June  3, 2012 16:30:34 UTC",60.2265,-151.0951,1.4,61.40, 8,"Kenai Peninsula, Alaska"
ci,15158729,2,"Sunday, June  3, 2012 16:21:54 UTC",33.1883,-115.5672,2.2,1.80,82,"Southern California"
ak,10485824,2,"Sunday, June  3, 2012 16:04:11 UTC",63.1703,-148.7117,1.1,76.20,25,"Central Alaska"
ak,10485819,2,"Sunday, June  3, 2012 15:49:39 UTC",63.0657,-149.2355,1.5,72.50,38,"Central Alaska"
ak,10485810,2,"Sunday, June  3, 2012 15:09:15 UTC",60.8837,-150.2027,2.2,38.30,44,"Kenai Peninsula, Alaska"
nc,71795686,3,"Sunday, June  3, 2012 15:04:40 UTC",40.2437,-121.1823,3.0,0.10,57,"Northern California"
us,2012bja5,5,"Sunday, June  3, 2012 14:57:32 UTC",36.5378,5.2295,4.0,10.00,22,"northern Algeria"
us,b000a5yb,8,"Sunday, June  3, 2012 14:51:26 UTC",-21.9576,-179.3288,4.6,574.80,67,"Fiji region"
ci,15158697,2,"Sunday, June  3, 2012 14:48:14 UTC",35.2200,-118.5658,1.5,9.60,41,"Central California"
ak,10488048,2,"Sunday, June  3, 2012 14:46:14 UTC",62.9699,-150.4980,1.0,99.70, 9,"Central Alaska"
us,2012bja4,2,"Sunday, June  3, 2012 14:36:53 UTC",-3.8112,-102.9832,4.7,10.00,66,"central East Pacific Rise"
ak,10485797,2,"Sunday, June  3, 2012 14:22:59 UTC",63.8801,-150.6477,1.1,3.70,24,"Central Alaska"
nn,00378309,9,"Sunday, June  3, 2012 14:18:16 UTC",36.7004,-116.3176,1.3,10.10,15,"Nevada"
nc,71795661,2,"Sunday, June  3, 2012 14:15:34 UTC",36.2823,-121.4545,1.7,13.60,38,"Central California"
ci,15158673,2,"Sunday, June  3, 2012 14:08:01 UTC",34.1260,-117.4305,1.1,9.50,36,"Greater Los Angeles area, California"
us,b000a5xd,A,"Sunday, June  3, 2012 13:51:46 UTC",6.7733,123.8618,4.6,591.90,108,"Moro Gulf, Mindanao, Philippines"
ak,10485782,2,"Sunday, June  3, 2012 13:46:30 UTC",63.4761,-148.1197,1.2,5.80,20,"Central Alaska"
ak,10485783,3,"Sunday, June  3, 2012 13:45:42 UTC",51.1429,176.5898,3.3,45.30,14,"Rat Islands, Aleutian Islands, Alaska"
nc,71795641,4,"Sunday, June  3, 2012 13:31:53 UTC",37.9100,-122.0102,1.3,13.90,33,"San Francisco Bay area, California"
ci,15158649,2,"Sunday, June  3, 2012 13:20:41 UTC",33.2170,-115.6480,2.2,2.30,73,"Southern California"
nc,71795631,5,"Sunday, June  3, 2012 13:17:14 UTC",37.3310,-118.7402,1.1,6.60,19,"Central California"
nc,71795621,2,"Sunday, June  3, 2012 12:38:40 UTC",36.5090,-121.0903,1.3,4.30,26,"Central California"
ak,10485769,2,"Sunday, June  3, 2012 12:35:26 UTC",60.8336,-150.8900,1.7,51.00,25,"Kenai Peninsula, Alaska"
ci,15158633,2,"Sunday, June  3, 2012 12:28:37 UTC",33.4648,-116.7800,1.5,13.50,51,"Southern California"
nc,71795616,3,"Sunday, June  3, 2012 12:10:26 UTC",36.1000,-121.0232,1.2,9.90,26,"Central California"
ak,10485765,2,"Sunday, June  3, 2012 12:04:50 UTC",57.9008,-154.0859,2.4,47.30,31,"Kodiak Island region, Alaska"
us,b000a5wd,9,"Sunday, June  3, 2012 11:54:31 UTC",3.3875,-82.8265,4.7,10.50,226,"south of Panama"
ak,10485757,2,"Sunday, June  3, 2012 11:53:34 UTC",61.6581,-149.5227,1.5,35.70,26,"Southern Alaska"
ci,15158617,2,"Sunday, June  3, 2012 11:45:10 UTC",32.2522,-115.3207,2.1,10.00,20,"Baja California, Mexico"
us,b000a5w3,A,"Sunday, June  3, 2012 11:39:23 UTC",-21.4067,-68.0734,5.0,99.00,350,"Potosi, Bolivia"
ak,10485752,2,"Sunday, June  3, 2012 11:17:04 UTC",52.5196,-166.8860,2.7,34.30,20,"Fox Islands, Aleutian Islands, Alaska"
us,b000a7jh,5,"Sunday, June  3, 2012 11:14:48 UTC",-16.1468,67.3217,5.5,10.00,86,"Mid-Indian Ridge"
nc,71795566,3,"Sunday, June  3, 2012 11:14:34 UTC",38.8327,-122.8327,1.3,1.00,41,"Northern California"
ci,15158609,2,"Sunday, June  3, 2012 11:05:25 UTC",33.5793,-116.8080,1.4,10.30,50,"Southern California"
uu,06031104,2,"Sunday, June  3, 2012 11:04:19 UTC",36.8035,-112.9225,1.3,4.20,10,"Arizona"
us,b000a5vp,5,"Sunday, June  3, 2012 10:49:42 UTC",35.9247,99.8955,4.5,16.60,45,"southern Qinghai, China"
hv,60354226,1,"Sunday, June  3, 2012 10:33:28 UTC",19.4053,-155.4967,1.8,14.40,13,"Island of Hawaii, Hawaii"
ak,10488038,2,"Sunday, June  3, 2012 10:12:27 UTC",60.2479,-147.2257,1.2,15.00,14,"Southern Alaska"
ak,10485746,2,"Sunday, June  3, 2012 10:01:59 UTC",61.2827,-150.2862,1.2,47.40,11,"Southern Alaska"
ak,10488036,3,"Sunday, June  3, 2012 09:50:56 UTC",51.9949,-172.0633,2.4,41.50,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10485744,2,"Sunday, June  3, 2012 09:35:48 UTC",62.6466,-151.9112,1.2,10.90,17,"Central Alaska"
ak,10485743,3,"Sunday, June  3, 2012 09:24:57 UTC",52.1171,-172.0358,2.4,47.50,10,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71795511,0,"Sunday, June  3, 2012 09:24:53 UTC",38.8227,-122.7852,1.0,2.30,16,"Northern California"
nc,71795506,0,"Sunday, June  3, 2012 09:24:06 UTC",38.8243,-122.7857,1.0,2.30,16,"Northern California"
nc,71795481,3,"Sunday, June  3, 2012 08:41:59 UTC",38.8177,-122.7712,1.9,0.50,57,"Northern California"
nc,71795466,2,"Sunday, June  3, 2012 08:34:18 UTC",37.6538,-119.0223,1.4,1.90,20,"Long Valley area, California"
us,b000a5uf,7,"Sunday, June  3, 2012 08:21:49 UTC",-26.5595,-63.4445,4.0,574.70,28,"Santiago del Estero, Argentina"
ci,15158585,2,"Sunday, June  3, 2012 08:10:46 UTC",34.1245,-117.4305,1.7,8.70,45,"Greater Los Angeles area, California"
ak,10488032,3,"Sunday, June  3, 2012 07:49:29 UTC",52.2349,179.9393,2.6,165.30,13,"Rat Islands, Aleutian Islands, Alaska"
ak,10488031,2,"Sunday, June  3, 2012 07:47:49 UTC",53.4905,-165.8819,1.2,40.80, 7,"Fox Islands, Aleutian Islands, Alaska"
ci,15158577,2,"Sunday, June  3, 2012 07:39:55 UTC",34.0380,-116.9518,1.4,19.20,42,"Southern California"
ak,10485724,2,"Sunday, June  3, 2012 07:34:06 UTC",62.9379,-148.8126,1.9,3.10,45,"Central Alaska"
us,b000a5ty,6,"Sunday, June  3, 2012 06:47:28 UTC",-43.5342,172.8799,4.2,10.40,20,"South Island of New Zealand"
ci,15158561,2,"Sunday, June  3, 2012 06:04:55 UTC",33.5033,-116.4492,1.4,8.30,92,"Southern California"
nc,71795421,2,"Sunday, June  3, 2012 05:56:53 UTC",36.7005,-121.3357,1.6,3.30,43,"Central California"
ak,10485705,3,"Sunday, June  3, 2012 05:34:39 UTC",61.1461,-147.0293,1.7,0.00,10,"Southern Alaska"
ak,10485694,2,"Sunday, June  3, 2012 04:55:36 UTC",61.6307,-150.7876,1.9,66.70,30,"Southern Alaska"
ci,15158545,2,"Sunday, June  3, 2012 04:39:12 UTC",33.3667,-116.8293,1.7,7.40,95,"Southern California"
nc,71795396,3,"Sunday, June  3, 2012 04:27:08 UTC",35.7957,-120.3512,2.6,10.70,90,"Central California"
nc,71795386,2,"Sunday, June  3, 2012 04:19:23 UTC",40.0322,-120.3150,1.6,6.00,12,"Northern California"
ak,10485686,3,"Sunday, June  3, 2012 04:14:16 UTC",63.2545,-150.7205,1.1,126.10,21,"Central Alaska"
ci,15158529,2,"Sunday, June  3, 2012 04:12:53 UTC",34.9463,-116.7260,1.9,6.40,32,"Southern California"
pr,12155000,0,"Sunday, June  3, 2012 04:11:03 UTC",18.2719,-68.3119,3.1,105.90, 8,"Mona Passage, Dominican Republic"
nc,71795376,2,"Sunday, June  3, 2012 04:07:48 UTC",38.8360,-122.7863,1.1,2.10,35,"Northern California"
us,b000a5st,9,"Sunday, June  3, 2012 04:07:08 UTC",40.2074,141.8827,4.6,40.40,65,"near the east coast of Honshu, Japan"
hv,60354131,1,"Sunday, June  3, 2012 03:49:33 UTC",19.4042,-155.4207,2.3,7.70,55,"Island of Hawaii, Hawaii"
ak,10485677,2,"Sunday, June  3, 2012 03:41:29 UTC",64.6838,-150.7775,1.0,13.40,19,"Central Alaska"
ak,10485674,3,"Sunday, June  3, 2012 03:39:19 UTC",61.8305,-149.2339,1.0,14.90,18,"Southern Alaska"
nc,71795351,3,"Sunday, June  3, 2012 03:23:58 UTC",38.8225,-122.8107,1.3,3.40,43,"Northern California"
ak,10485669,3,"Sunday, June  3, 2012 03:20:16 UTC",51.4908,-177.0984,1.2,55.60,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10488020,3,"Sunday, June  3, 2012 03:19:39 UTC",52.5063,-169.9964,2.6,4.80,12,"Fox Islands, Aleutian Islands, Alaska"
ak,10485666,3,"Sunday, June  3, 2012 03:18:53 UTC",61.9932,-151.9775,1.5,95.30,22,"Southern Alaska"
ak,10485664,3,"Sunday, June  3, 2012 03:17:29 UTC",63.3251,-150.6320,1.5,129.60,27,"Central Alaska"
ak,10488017,3,"Sunday, June  3, 2012 03:17:20 UTC",52.5224,-170.1828,2.8,4.90,12,"Fox Islands, Aleutian Islands, Alaska"
nc,71795341,2,"Sunday, June  3, 2012 03:07:58 UTC",36.6935,-121.3058,1.1,8.20,25,"Central California"
ak,10485661,3,"Sunday, June  3, 2012 02:59:21 UTC",51.2918,-177.0286,3.4,20.40,20,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10488014,3,"Sunday, June  3, 2012 02:49:59 UTC",65.9600,-147.6649,1.0,25.20,12,"northern Alaska"
ak,10485657,2,"Sunday, June  3, 2012 02:49:33 UTC",61.3601,-146.7824,1.2,15.80,27,"Southern Alaska"
ak,10485654,2,"Sunday, June  3, 2012 02:38:20 UTC",58.9194,-152.3522,2.1,48.70,34,"Kodiak Island region, Alaska"
uw,60424171,2,"Sunday, June  3, 2012 02:34:59 UTC",47.7552,-121.7747,1.0,23.10,17,"Washington"
hv,60354061,1,"Sunday, June  3, 2012 02:20:34 UTC",19.4385,-155.2708,1.8,8.90, 9,"Island of Hawaii, Hawaii"
nc,71795306,2,"Sunday, June  3, 2012 02:19:29 UTC",36.0102,-120.5693,1.1,3.30,32,"Central California"
ci,15158505,2,"Sunday, June  3, 2012 02:10:58 UTC",32.3883,-115.2355,2.0,10.00,17,"Baja California, Mexico"
uw,60424161,3,"Sunday, June  3, 2012 01:59:24 UTC",48.6440,-123.1265,1.9,13.70,38,"San Juan Islands region, Washington"
ak,10485644,2,"Sunday, June  3, 2012 01:47:32 UTC",54.4921,-161.5700,2.9,17.60,14,"Alaska Peninsula"
